 ## Time[ps]  Epot[eV]  Etot[eV]  Ekin[eV]  <Edelta>  <Etot>  <T[K]>
         5.0000    -2792.79654   -2734.37104      58.42549        2.62846   -2741.83784     544.95425
        10.0000    -2784.60657   -2725.33415      59.27243        2.77271   -2729.63598     595.93534
        15.0000    -2784.98863   -2724.86716      60.12147        2.82935   -2724.84453     606.36993
        20.0000    -2785.08599   -2722.81754      62.26845        2.83853   -2724.06817     611.55590
        25.0000    -2787.19272   -2725.11262      62.08010        2.83694   -2724.20263     611.05570
        30.0000    -2787.73614   -2725.04709      62.68905        2.82523   -2725.19330     611.04523
        35.0000    -2787.16712   -2723.80915      63.35797        2.80921   -2726.54857     604.33614
        40.0000    -2788.85870   -2728.74290      60.11580        2.81473   -2726.08197     613.36161
        45.0000    -2787.64808   -2725.53492      62.11316        2.80191   -2727.16578     609.70075
        50.0000    -2786.28230   -2725.24620      61.03610        2.79958   -2727.36342     603.95879
        55.0000    -2788.55826   -2729.73645      58.82181        2.77817   -2729.17432     599.48510
        60.0000    -2788.79936   -2728.04846      60.75090        2.78231   -2728.82420     603.02800
        65.0000    -2789.72094   -2729.97996      59.74098        2.77775   -2729.20995     598.72655
        70.0000    -2790.34205   -2731.83355      58.50850        2.74708   -2731.80454     589.23357
        75.0000    -2787.27118   -2726.47883      60.79235        2.76555   -2730.24197     599.80648
        80.0000    -2793.11107   -2731.85257      61.25850        2.76301   -2730.45694     592.09530
        85.0000    -2787.12133   -2725.09201      62.02932        2.76586   -2730.21547     594.78679
        90.0000    -2789.13351   -2726.71763      62.41588        2.83290   -2724.54423     616.45406
        95.0000    -2791.64965   -2732.26986      59.37979        2.78927   -2728.23541     599.77880
       100.0000    -2792.12779   -2730.49989      61.62790        2.76241   -2730.50730     594.66402
       105.0000    -2792.71289   -2735.23875      57.47414        2.72959   -2733.28321     586.94230
       110.0000    -2788.25621   -2728.16344      60.09277        2.76522   -2730.26961     598.12893
       115.0000    -2787.81371   -2729.16102      58.65269        2.81786   -2725.81679     613.13021
       120.0000    -2788.85562   -2729.84904      59.00658        2.76408   -2730.36613     599.21528
       125.0000    -2790.87751   -2729.44788      61.42963        2.77935   -2729.07457     601.04806
       130.0000    -2786.58511   -2724.24755      62.33756        2.78568   -2728.53903     602.91737
       135.0000    -2787.34286   -2724.78263      62.56023        2.81282   -2726.24343     607.98207
       140.0000    -2792.28053   -2730.68988      61.59065        2.80239   -2727.12564     609.15350
       145.0000    -2790.44513   -2731.71416      58.73097        2.76962   -2729.89715     592.00001
       150.0000    -2790.42606   -2729.72014      60.70592        2.75375   -2731.23959     587.44207
       155.0000    -2788.55612   -2723.81181      64.74431        2.81658   -2725.92506     606.19080
       160.0000    -2787.35408   -2726.06328      61.29080        2.81619   -2725.95785     608.72019
       165.0000    -2786.13004   -2723.92104      62.20900        2.81449   -2726.10165     605.68883
       170.0000    -2787.11756   -2725.38160      61.73596        2.82494   -2725.21807     611.06967
       175.0000    -2789.18685   -2730.62203      58.56482        2.79791   -2727.50402     599.07993
       180.0000    -2788.01382   -2729.03691      58.97690        2.81384   -2726.15673     608.81615
       185.0000    -2788.90279   -2727.68489      61.21790        2.77052   -2729.82110     593.08703
       190.0000    -2785.33450   -2724.41073      60.92377        2.81527   -2726.03620     605.89035
       195.0000    -2788.79167   -2728.82189      59.96977        2.83431   -2724.42539     617.54868
       200.0000    -2789.65416   -2727.64210      62.01206        2.77344   -2729.57433     593.03615
       205.0000    -2781.86298   -2723.67642      58.18655        2.80840   -2726.61667     602.39539
       210.0000    -2786.30663   -2726.40233      59.90431        2.81356   -2726.18039     602.38707
       215.0000    -2787.45408   -2727.83158      59.62250        2.81595   -2725.97817     604.72593
       220.0000    -2789.03548   -2728.34022      60.69526        2.80366   -2727.01776     605.99825
       225.0000    -2782.56955   -2724.94715      57.62240        2.78810   -2728.33398     599.68751
       230.0000    -2788.04936   -2727.23607      60.81328        2.81235   -2726.28251     608.01570
       235.0000    -2787.84827   -2730.36043      57.48783        2.79225   -2727.98351     603.70393
       240.0000    -2791.00041   -2732.68863      58.31178        2.74808   -2731.71928     585.28746
       245.0000    -2791.90316   -2729.83806      62.06511        2.73307   -2732.98956     580.06662
       250.0000    -2789.79826   -2728.87123      60.92702        2.77153   -2729.73624     598.52746
       255.0000    -2791.39906   -2729.20230      62.19675        2.76865   -2729.97977     593.43528
       260.0000    -2791.38097   -2728.41532      62.96564        2.78136   -2728.90406     600.74098
       265.0000    -2786.51180   -2726.29221      60.21959        2.81624   -2725.95419     613.45092
       270.0000    -2788.89286   -2728.84508      60.04779        2.81038   -2726.44994     615.90764
       275.0000    -2792.65321   -2734.43755      58.21565        2.74644   -2731.85862     588.54196
       280.0000    -2792.96437   -2733.19133      59.77305        2.72542   -2733.63669     585.59125
       285.0000    -2792.13086   -2730.13382      61.99704        2.74848   -2731.68546     589.56901
       290.0000    -2785.65061   -2725.76239      59.88822        2.80150   -2727.20097     605.22168
